天	天空|白天|今天	今天的天空很蓝。
飞	飞机|飞鸟|飞翔	飞机飞过蓝蓝的天空。
会	学会|开会|机会	我学会了自己穿鞋。
个	一个|几个|个人	篮子里有一个苹果。
的	好的|我的|你的	这是我的小书包。
船	小船|轮船|船长	小船在湖面上前进。
两	两个|两边|两手	我有两只小手。
头	头发|石头|抬头	我抬头看见了月亮。
在	正在|现在|存在	小猫正在窗边晒太阳。
里	里面|手里|家里	盒子里面有三颗糖。
看	看见|看书|好看	我坐在窗边看书。
见	看见|再见|见面	我看见一只蝴蝶。
闪	闪亮|闪光|闪电	星星在夜空中闪亮。
星	星星|星空|火星	夜空中的星星真美。
江	江水|长江|江边	江水缓缓向前流。
南	南方|南边|江南	春天的江南很美。
可	可以|可是|可爱	这只小兔真可爱。
采	采花|采摘|风采	我们在果园里采摘苹果。
莲	莲花|莲叶|睡莲	池塘里开着粉色莲花。
鱼	小鱼|金鱼|鱼缸	小鱼在鱼缸里游动。
东	东方|东边|东西	太阳从东方升起来。
西	西方|西边|东西	太阳慢慢落到西边。
北	北方|北边|北京	冬天北方会下雪。
尖	尖角|尖头|笔尖	铅笔的笔尖很尖。
说	说话|说明|听说	上课时要轻声说话。
春	春天|春风|春雨	春天来了，花儿开了。
青	青草|青蛙|青色	青蛙跳进池塘里。
蛙	青蛙|牛蛙|蛙泳	小青蛙蹲在荷叶上。
夏	夏天|夏日|立夏	夏天我们去游泳。
弯	弯曲|弯腰|转弯	月亮弯弯像小船。
皮	果皮|皮球|调皮	香蕉皮要放进垃圾桶。
就	就是|成就|就要	天黑了，我们就要回家。
冬	冬天|冬日|立冬	冬天我们穿上厚棉衣。
男	男孩|男女|男生	那个男孩正在踢球。
女	女孩|男女|女生	女孩扎着漂亮的辫子。
开	打开|开门|开心	我开心地打开礼物。
关	关门|开关|关心	离开房间请关灯。
注	注意|注音|关注	过马路要注意安全。
正	正在|正确|正好	小朋友正在排队洗手。
反	反面|相反|反复	卡片的反面有一幅画。
远	远方|很远|远近	远方的山看起来很小。
有	没有|所有|有趣	这个故事很有趣。
色	颜色|红色|彩色	我最喜欢蓝色。
近	附近|很近|远近	学校离我家很近。
听	听见|听话|听说	我安静地听老师讲故事。
无	无声|无边|无人	夜晚的树林安静无声。
声	声音|大声|笑声	教室里传来欢快的笑声。
去	去年|回去|出去	我们一起去公园散步。
还	还有|还是|还要	盘子里还有两块饼干。
来	回来|来到|来往	春天来到我们的身边。
多	多少|很多|多云	花园里有很多花。
少	多少|很少|少年	杯子里的水很少。
黄	黄色|金黄|黄瓜	秋天的树叶变黄了。
牛	小牛|牛奶|水牛	小牛在草地上吃草。
只	一只|只有|只好	树上停着一只小鸟。
猫	小猫|花猫|熊猫	小猫轻轻走进房间。
边	旁边|河边|一边	小树长在河边。
鸭	小鸭|鸭子|野鸭	小鸭排队游过池塘。
苹	苹果|苹果树|苹果汁	我洗了一个红苹果。
果	水果|果园|果实	果园里的果实成熟了。
杏	杏花|杏子|杏树	春天杏花开了。
桃	桃花|桃子|桃树	树上结了许多桃子。
书	书本|看书|书包	我把书本放进书包。
包	书包|面包|包子	我的书包里有盒彩笔。
尺	尺子|直尺|尺寸	我用尺子画直线。
作	作业|作文|动作	我认真完成今天的作业。
业	作业|工业|农业	写完作业就可以玩了。
本	书本|本子|本来	我在本子上写名字。
笔	铅笔|画笔|毛笔	我用铅笔写汉字。
刀	小刀|剪刀|菜刀	使用剪刀时要注意安全。
课	上课|课本|下课	上课时我认真听讲。
早	早上|早安|早晨	早上太阳升起来了。
校	学校|校园|校门	我们在校门口排好队。
明	明天|明亮|明白	明天我们去动物园。
力	力气|努力|用力	我用力推开了门。
尘	灰尘|尘土|一尘不染	妈妈把桌上的灰尘擦掉。
从	从前|从来|跟从	从前有一只勇敢的小兔。
众	众人|观众|大众	观众为小演员鼓掌。
双	双手|一双|双方	我有一双明亮的眼睛。
木	木头|木马|树木	这张小桌子是木头做的。
林	树林|竹林|林中	小鹿在树林里散步。
森	森林|阴森|森严	森林里住着许多动物。
条	一条|面条|纸条	河里有一条小鱼。
心	开心|爱心|小心	我今天玩得很开心。
升	升起|上升|升高	太阳从东方升起。
国	中国|国家|国旗	我爱自己的国家。
旗	国旗|红旗|旗子	国旗在风中飘扬。
中	中国|中间|中心	小猫坐在沙发中间。
红	红色|红花|火红	我画了一个红色太阳。
歌	唱歌|儿歌|歌曲	我们一起唱儿歌。
起	起来|一起|起床	早上我按时起床。
么	什么|怎么|多么	这是什么小动物？
美	美丽|美好|美术	春天的花园真美丽。
丽	美丽|秀丽|华丽	孔雀的羽毛很美丽。
立	站立|立正|起立	听到口令后大家起立。
午	中午|上午|下午	中午我们一起吃饭。
晚	晚上|晚安|晚饭	晚上睡觉前我说晚安。
昨	昨天|昨日|昨晚	昨天我和爸爸去跑步。
今	今天|今年|如今	今天我们学习一个新字。
年	今年|过年|新年	新年我们贴上红窗花。
影	影子|电影|身影	阳光下我的影子很长。
前	前面|以前|向前	老师站在队伍前面。
后	后面|以后|最后	小狗跟在我后面。
黑	黑色|黑板|天黑	天黑以后星星出来了。
狗	小狗|花狗|狗熊	小狗摇着尾巴欢迎我。
左	左边|左右|左手	我的左手拿着书。
右	右边|左右|右手	请举起你的右手。
它	它们|它的|其它	小猫很饿，我给它倒了水。
好	好人|美好|正好	今天天气真好。
朋	朋友|亲朋|亲朋好友	我的朋友喜欢画画。
友	朋友|友好|友情	我们要友好地相处。
比	比较|比赛|对比	我和哥哥比赛跑步。
尾	尾巴|结尾|末尾	小兔的尾巴短短的。
巴	尾巴|嘴巴|下巴	小猫的尾巴弯弯的。
谁	谁的|是谁|谁家	这是谁的小书包？
长	长短|很长|长尾巴	长颈鹿的脖子很长。
短	短小|长短|短发	小兔的尾巴很短。
把	一把|把手|火把	我有一把小雨伞。
伞	雨伞|打伞|小伞	下雨时要记得带伞。
兔	兔子|白兔|小兔	小白兔爱吃胡萝卜。
最	最好|最后|最多	我最喜欢听故事。
公	公园|公平|公鸡	周末我们去公园玩。
写	写字|书写|写作	我坐直身体认真写字。
诗	古诗|诗歌|诗人	老师教我们读一首古诗。
点	一点|点头|雨点	小雨点落在窗户上。
要	需要|重要|不要	饭前要把小手洗干净。
给	送给|交给|给你	我把画送给妈妈。
当	当然|当心|当时	过马路时要当心车辆。
串	一串|串门|成串	葡萄一串一串挂在架上。
们	我们|你们|他们	我们一起整理玩具。
以	以后|可以|以前	写完作业以后再玩。
成	成功|完成|成长	我独立完成了任务。
彩	彩色|彩虹|精彩	雨后出现了彩虹。
半	一半|半天|半圆	我把苹果分成两半。
空	天空|空气|空中	小鸟在空中自由飞翔。
问	问题|提问|问好	不明白时可以提问。
到	来到|看到|到达	我们安全到达了学校。
方	方向|地方|方形	指南针可以告诉我们方向。
没	没有|没事|没空	杯子里没有水了。
更	更加|更多|更好	每天练习会做得更好。
绿	绿色|绿叶|绿草	春天长出了绿色嫩叶。
出	出去|出来|日出	太阳从云后出来了。
睡	睡觉|午睡|睡衣	晚上我按时睡觉。
那	那个|那里|那边	那边有一只小鹿。
海	大海|海边|海水	海水轻轻拍着沙滩。
真	认真|真正|天真	我认真听完了故事。
老	老师|老人|老家	老师带我们做游戏。
师	老师|师生|大师	我向老师问好。
吗	好吗|是吗|行吗	我们一起去公园，好吗？
同	同学|相同|一同	我和同学一起做手工。
什	什么|为什么|没什么	你最喜欢什么颜色？
才	刚才|才华|天才	刚才有一只鸟飞过。
亮	明亮|月亮|漂亮	教室的窗户明亮又干净。
时	时间|小时|有时	我们要珍惜时间。
候	时候|等候|气候	吃饭的时候要坐好。
觉	觉得|感觉|发觉	我觉得今天很开心。
得	觉得|记得|舍不得	我觉得今天很开心。
自	自己|自然|自信	我会自己整理书包。
己	自己|知己|克己	自己的事情自己做。
很	很好|很多|很快	今天我认识了很多新字。
穿	穿衣|穿过|穿鞋	我会自己穿鞋。
衣	衣服|雨衣|毛衣	下雨天我穿上雨衣。
服	衣服|服装|服务	我把衣服叠整齐。
快	快乐|飞快|快慢	小马飞快地向前跑。
蓝	蓝色|蓝天|蔚蓝	蓝天上飘着白云。
又	又大又圆|又一次|又来了	月亮又大又圆。
笑	笑声|微笑|好笑	妹妹露出了甜甜的微笑。
着	看着|听着|走着	我看着小鱼游来游去。
向	方向|向前|面向	大家一起向前走。
和	和平|和好|我和你	我和朋友一起搭积木。
贝	贝壳|宝贝|海贝	我在沙滩上捡到贝壳。
娃	娃娃|女娃|娃娃鱼	妹妹抱着布娃娃睡觉。
挂	挂上|挂画|悬挂	我把外套挂在衣架上。
活	生活|活动|干活	我们参加了户外活动。
金	金色|金鱼|黄金	鱼缸里有两条金鱼。
群	一群|人群|羊群	一群小鸟飞过天空。
竹	竹子|竹林|竹叶	熊猫喜欢吃竹叶。
牙	牙齿|刷牙|门牙	早晚都要认真刷牙。
用	使用|有用|不用	我用彩笔画小花。
几	几个|几乎|茶几	桌上有几个橘子？
步	脚步|跑步|散步	晚饭后我们一起散步。
为	因为|为了|成为	我为朋友的进步高兴。
参	参加|参观|人参	我们参加了亲子运动会。
加	加油|参加|加法	比赛时大家一起喊加油。
洞	山洞|洞口|树洞	小松鼠住在树洞里。
乌	乌云|乌黑|乌鸦	乌云来了，快要下雨了。
鸦	乌鸦|寒鸦|鸦雀无声	乌鸦站在高高的树上。
处	到处|住处|好处	春天到处都是鲜花。
找	找到|寻找|找人	我终于找到了积木。
办	办法|办理|怎么办	我们一起想个好办法。
旁	旁边|两旁|身旁	妈妈坐在我的身旁。
许	许多|也许|允许	花园里有许多蝴蝶。
法	办法|方法|想法	这个方法简单又安全。
放	放下|开放|放心	玩完后要把玩具放回原处。
进	进去|前进|进步	我每天学习都有进步。
高	高山|高兴|长高	我学会骑车，心里很高兴。
住	住在|住处|站住	我家住在学校附近。
孩	孩子|小孩|男孩	孩子们在草地上游戏。
玩	玩具|玩耍|好玩	我们一起玩积木。
吧	好吧|走吧|来吧	天晴了，我们出去玩吧。
发	发现|出发|发芽	我发现叶子上有只小虫。
芽	发芽|豆芽|嫩芽	种子在春雨里发芽。
爬	爬山|爬行|爬树	小蜗牛慢慢向上爬。
呀	好呀|来呀|走呀	这朵花真漂亮呀！
久	很久|长久|多久	我等了很久，公交车来了。
回	回来|回家|回答	放学后我按时回家。
全	全部|安全|完全	过马路要注意安全。
变	变化|变成|改变	毛毛虫变成了蝴蝶。
哥	哥哥|大哥|表哥	哥哥教我骑自行车。
姐	姐姐|大姐|表姐	姐姐陪我一起看书。
弟	弟弟|兄弟|表弟	弟弟正在搭积木。
叔	叔叔|大叔|叔父	警察叔叔帮助了我们。
爷	爷爷|大爷|老爷爷	爷爷带我去公园散步。
工	工人|工作|手工	我们用彩纸做手工。
厂	工厂|厂房|厂家	工厂里有许多机器。
医	医生|医院|医治	医生为我检查身体。
院	医院|院子|电影院	奶奶在院子里晒太阳。
生	生日|学生|生活	今天是妹妹的生日。
霜	冰霜|下霜|秋霜	清晨的草叶上结了霜。
吹	吹风|吹气|风吹	春风吹绿了小草。
落	落下|落叶|降落	一片树叶轻轻落下。
降	降落|下降|降温	飞机平稳地降落了。
飘	飘动|飘落|飘扬	国旗在风中飘扬。
游	游泳|游戏|游客	小鱼在水里游来游去。
池	水池|池塘|电池	池塘里开满了荷花。
入	入口|进入|加入	请从入口排队进入。
姓	姓名|姓氏|百姓	我的姓名写在本子上。
氏	姓氏|氏族|摄氏度	中国有很多不同的姓氏。
李	李子|姓李|桃李	树上的李子成熟了。
张	张开|一张|姓张	小鸟张开翅膀飞走了。
古	古代|古诗|古老	这是一座古老的石桥。
吴	姓吴|吴老师|吴国	我们的体育老师姓吴。
赵	姓赵|赵老师|赵叔叔	邻居叔叔姓赵。
钱	花钱|零钱|钱包	我把零钱放进钱包。
孙	孙子|子孙|姓孙	老爷爷牵着孙子散步。
周	周末|四周|一周	周末我们去郊外玩。
王	国王|王子|姓王	故事里的国王很善良。
官	军官|法官|器官	眼睛是重要的感觉器官。
清	清水|清楚|清洁	小河里的水很清。
晴	晴天|晴朗|放晴	雨后天空终于放晴了。
眼	眼睛|眼光|闭眼	看书时要保护眼睛。
睛	眼睛|定睛|画龙点睛	小猫有一双圆圆的眼睛。
保	保护|保安|保持	我们要保护小动物。
护	保护|爱护|护士	请爱护公园里的花草。
害	害怕|伤害|害虫	妹妹有一点害怕打雷。
事	事情|故事|做事	我把今天的事情告诉妈妈。
情	心情|事情|感情	完成任务后我的心情很好。
请	请问|请求|请坐	请把玩具放回盒子里。
让	让开|礼让|谦让	乘车时我们要互相礼让。
病	生病|病人|看病	生病了要好好休息。
相	相信|互相|相同	朋友之间要互相帮助。
遇	遇见|相遇|遇到	路上我遇见了老师。
喜	喜欢|喜爱|惊喜	我喜欢听爸爸讲故事。
欢	喜欢|欢乐|欢迎	欢迎新朋友来到我们班。
怕	害怕|可怕|不怕	我不怕黑，因为有小夜灯。
言	语言|发言|名言	上课发言前要先举手。
互	互相|互动|互助	我们互相交换绘本。
令	口令|命令|令人	听到口令后大家一起出发。
动	运动|活动|动作	每天运动让身体更健康。
万	一万|千万|万物	春天让万物醒来了。
纯	纯净|单纯|纯白	我们要珍惜纯净的水。
净	干净|清净|洁净	我把桌面擦得很干净。
阴	阴天|树阴|阴凉	阴天的云层厚厚的。
雷	雷声|打雷|春雷	远处传来隆隆的雷声。
电	电话|电视|闪电	闪电过后响起了雷声。
阵	一阵|阵雨|阵地	一阵风吹动了窗帘。
冰	冰块|冰雪|结冰	杯子里的冰块慢慢化了。
冻	冰冻|冷冻|冻住	天气太冷，水面冻住了。
夹	夹子|夹住|文件夹	我用夹子夹住画纸。
吃	吃饭|吃完|好吃	我们洗手后再吃饭。
忘	忘记|难忘|忘掉	出门不要忘记带水杯。
井	水井|井口|井水	村子里有一口老水井。
村	村子|农村|村民	小村子旁边有一条河。
叫	叫声|叫好|呼叫	公鸡的叫声把我唤醒。
毛	毛衣|羽毛|毛巾	小鸟的羽毛柔软又漂亮。
主	主人|主要|公主	故事里的公主勇敢又善良。
席	主席|凉席|座席	夏天睡在凉席上很舒服。
乡	家乡|乡村|故乡	我的家乡有美丽的稻田。
亲	亲人|亲爱|亲手	我亲手做了一张贺卡。
战	战士|战斗|挑战	勇敢的战士保卫家园。
士	战士|护士|士兵	护士阿姨细心照顾病人。
面	面条|前面|面包	早饭我吃了一碗面条。
想	想法|想念|梦想	我想给奶奶打电话。
告	告诉|广告|告别	我把好消息告诉了妈妈。
诉	告诉|诉说|投诉	小朋友向老师诉说心事。
京	北京|京城|京剧	北京有雄伟的天安门。
安	安全|安心|平安	系好安全带才能出发。
门	大门|开门|门口	我在校门口和妈妈告别。
广	广场|广大|广播	我们在广场上放风筝。
非	非常|是非|非要	今天的天空非常蓝。
常	经常|非常|平常	我经常帮妈妈摆碗筷。
壮	强壮|壮观|壮大	运动让身体变得强壮。
观	观看|参观|壮观	我们安静地观看演出。
接	接住|接着|迎接	我伸手接住了皮球。
再	再见|再次|再来	放学时我和老师说再见。
做	做事|做饭|做手工	我和爸爸一起做风筝。
各	各种|各自|各位	花园里开着各种鲜花。
种	种子|种类|各种	我把种子埋进泥土里。
样	一样|样子|各种各样	两片叶子的样子不一样。
伙	伙伴|伙食|大伙	小伙伴们一起搭城堡。
伴	伙伴|陪伴|同伴	爸爸陪伴我一起读书。
却	却是|忘却|退却	天气很冷，小树却站得笔直。
也	也许|也是|也好	小猫喜欢鱼，小狗也喜欢。
趣	有趣|兴趣|趣味	这个科学实验很有趣。
这	这里|这个|这样	这个苹果又红又甜。
太	太阳|太空|太好了	太阳从山后升起来。
阳	太阳|阳光|阳台	温暖的阳光照进房间。
道	道路|知道|一道	我知道过马路要看灯。
送	送给|接送|欢送	我把鲜花送给老师。
忙	帮忙|忙碌|连忙	我帮忙把碗放到桌上。
尝	品尝|尝试|尝一尝	我品尝了一块甜西瓜。
香	香味|香甜|花香	厨房里飘来饭菜的香味。
甜	甜蜜|香甜|甜点	这个桃子又香又甜。
温	温暖|温度|体温	春风温暖地吹过脸庞。
暖	暖和|温暖|暖气	阳光晒在身上很暖和。
该	应该|不该|该回家	我们应该爱护公共物品。
颜	颜色|颜料|笑颜	我用颜料画了一道彩虹。
因	因为|原因|因此	因为下雨，我们在室内玩。
块	一块|方块|石块	盘子里有一块蛋糕。
捉	捉虫|捉住|捕捉	小鸡在草地上捉虫。
急	着急|急忙|紧急	找不到妈妈时不要着急。
直	一直|直线|笔直	小树长得又高又直。
河	河水|小河|河边	小河唱着歌向前流。
行	行走|不行|行李	斑马在草原上行走。
死	死亡|生死|死去	枯叶落下后并没有死去。
信	相信|写信|信心	我相信自己能完成任务。
跟	跟着|脚跟|跟前	小鸭跟着妈妈下水。
忽	忽然|忽视|忽快忽慢	天空忽然下起了雨。
喊	喊叫|呼喊|喊声	大家一起喊加油。
身	身体|身边|身高	每天运动能让身体强壮。
窝	鸟窝|被窝|蜂窝	小鸟把窝搭在树上。
孤	孤单|孤独|孤儿	有朋友陪伴就不孤单。
单	简单|单独|名单	这道题很简单。
都	都是|全都|都有	篮子里的苹果全都洗干净了。
邻	邻居|相邻|邻近	邻居奶奶送来一篮水果。
居	邻居|居住|家居	小兔居住在森林里。
招	招手|招呼|招待	我向远处的朋友招手。
呼	呼吸|招呼|欢呼	跑步后我慢慢调整呼吸。
静	安静|平静|静悄悄	图书馆里要保持安静。
怎	怎么|怎样|怎么办	这个玩具应该怎么玩？
独	单独|独立|独自	我可以独立整理书包。
跳	跳高|跳舞|跳绳	我们在操场上跳绳。
绳	跳绳|绳子|麻绳	我把绳子轻轻系好。
讲	讲话|讲故事|讲台	老师给我们讲故事。
羽	羽毛|羽毛球|羽翼	我捡到一根白色羽毛。
球	皮球|足球|篮球	我把皮球踢给朋友。
戏	游戏|看戏|戏剧	我们一起玩猜字游戏。
排	排队|一排|安排	洗手时大家排好队。
篮	篮球|篮子|花篮	篮子里装着新鲜水果。
连	连忙|连接|连续	我连忙扶起摔倒的朋友。
运	运动|运气|运输	坚持运动让我们更健康。
夜	夜晚|黑夜|深夜	夜晚的天空挂着月亮。
思	思考|心思|思念	遇到问题要认真思考。
床	床上|起床|木床	早上我起床后叠被子。
光	阳光|月光|光明	阳光穿过树叶照下来。
疑	疑问|怀疑|疑惑	我有疑问就举手提问。
举	举手|举起|举办	回答问题前请先举手。
望	希望|看望|远望	我站在山顶向远处望。
低	低头|高低|低声	进门时我低头看见小猫。
故	故事|故乡|故意	爸爸给我讲了一个故事。
胆	胆子|大胆|胆量	我鼓起胆子走上舞台。
敢	勇敢|敢于|不敢	勇敢的小朋友愿意尝试。
往	往前|来往|往常	我们沿着小路往前走。
窗	窗户|窗外|车窗	窗外有一棵开花的树。
外	外面|窗外|户外	天气好时我们去户外运动。
勇	勇敢|勇气|英勇	我有勇气尝试新事情。
乱	弄乱|杂乱|慌乱	玩具不要随手乱放。
偏	偏旁|偏心|偏远	“河”的偏旁是三点水。
散	散步|分散|散开	晚饭后我们去河边散步。
原	原来|草原|原因	原来小猫躲在桌子下面。
像	好像|画像|相像	白云好像一只小羊。
微	微笑|微风|细微	一阵微风吹来很舒服。
端	端正|两端|端午	我坐得端正再开始写字。
粽	粽子|肉粽|粽叶	端午节我们一起包粽子。
节	节日|春节|季节	春节是热闹的节日。
总	总是|总共|总结	我总是把玩具收拾整齐。
米	大米|米饭|玉米	锅里煮着香喷喷的米饭。
间	中间|房间|时间	我把房间整理干净。
分	分开|分钟|分享	我愿意和朋友分享玩具。
豆	豆子|黄豆|豆芽	小豆子在水里发芽。
肉	猪肉|牛肉|肉包	午饭有香香的肉包。
带	带来|带走|皮带	出门时我带上水杯。
知	知道|知识|通知	我知道红灯亮时要停下。
据	根据|证据|占据	我根据图画讲了故事。
念	想念|读念|纪念	我很想念远方的外婆。
虹	彩虹|虹桥|霓虹	雨后天空出现了彩虹。
座	一座|座位|星座	河上有一座弯弯的桥。
浇	浇水|浇花|浇灌	我每天给小花浇水。
提	提高|提问|提起	我有问题就举手提问。
洒	洒水|洒落|喷洒	阳光洒在金色的沙滩上。
挑	挑选|挑水|挑起	我挑选了一个红苹果。
兴	高兴|兴趣|尽兴	收到礼物我很高兴。
镜	镜子|眼镜|镜面	我对着镜子梳头发。
拿	拿起|捉拿|拿手	我拿起水杯喝水。
照	照片|照亮|拍照	灯光照亮了小房间。
千	一千|千万|千米	这本书里有千奇百怪的动物。
裙	裙子|长裙|围裙	姐姐穿着漂亮的裙子。
辆	一辆|车辆|两辆	门口停着一辆汽车。
匹	一匹|布匹|马匹	草原上跑着一匹马。
册	一册|画册|手册	我读完了一册绘本。
支	一支|支持|支点	盒子里有一支铅笔。
铅	铅笔|铅球|铅灰	我用铅笔写自己的名字。
棵	一棵|几棵|棵数	院子里有一棵苹果树。
架	书架|衣架|一架	书架上整齐地放着绘本。
眉	眉毛|眉头|眉心	妹妹的眉毛弯弯的。
鼻	鼻子|鼻孔|鼻音	小狗用鼻子闻花香。
嘴	嘴巴|闭嘴|嘴角	小鸟张开嘴巴唱歌。
脖	脖子|脖颈|围脖	冬天我给脖子围上围巾。
臂	手臂|双臂|臂弯	我张开双臂拥抱妈妈。
肚	肚子|肚皮|肚量	小熊吃饱后摸摸肚子。
腿	大腿|小腿|火腿	跑步前要活动双腿。
脚	小脚|脚步|脚印	沙滩上留下我的脚印。
蜻	蜻蜓|红蜻蜓|蜻蜓点水	一只蜻蜓停在荷叶上。
蜓	蜻蜓|竹蜻蜓|蜻蜓点水	蜻蜓展开透明的翅膀。
迷	迷路|迷人|迷宫	在陌生地方迷路要找警察。
藏	捉迷藏|藏好|收藏	小猫藏在窗帘后面。
造	制造|建造|创造	小鸟用树枝建造鸟窝。
蚂	蚂蚁|蚂蟥|蚂蚱	一只蚂蚁搬着米粒。
蚁	蚂蚁|白蚁|工蚁	小蚂蚁排队搬食物。
食	食物|食品|吃食	我们不要浪费食物。
粮	粮食|干粮|粮仓	农民辛苦种出粮食。
蜘	蜘蛛|蜘蛛网|小蜘蛛	小蜘蛛在角落里织网。
蛛	蜘蛛|蛛网|蛛丝	蜘蛛沿着蛛丝向上爬。
网	渔网|上网|蜘蛛网	露珠挂在蜘蛛网上。
圆	圆形|团圆|圆月	月亮像一个大圆盘。
严	严格|严重|严寒	冬天的严寒挡不住梅花。
寒	寒冷|严寒|寒风	寒冷的冬天要穿厚衣服。
酷	酷热|酷暑|很酷	酷热的夏天要多喝水。
暑	暑假|炎暑|避暑	暑假我们去海边玩。
凉	凉快|清凉|冰凉	树阴下面十分凉快。
晨	早晨|清晨|晨光	清晨小鸟开始唱歌。
细	仔细|细小|细雨	我仔细观察叶子的纹路。
朝	朝阳|今朝|朝向	清晨的朝阳染红天空。
霞	彩霞|晚霞|朝霞	晚霞把天空染成橙色。
夕	夕阳|除夕|朝夕	夕阳慢慢落到山后。
杨	杨树|白杨|杨柳	路边的杨树长得很高。
操	做操|早操|操场	我们每天早上认真做操。
场	操场|广场|球场	孩子们在操场上跑步。
拔	拔河|拔草|拔牙	大家一起用力拔河。
拍	拍手|拍球|拍照	我们跟着音乐一起拍手。
跑	跑步|奔跑|跑道	我每天在操场上跑步。
踢	踢球|踢腿|踢开	哥哥在草地上踢球。
铃	铃声|门铃|铃铛	上课铃声响起来了。
热	热水|炎热|热闹	运动后我觉得有点热。
闹	热闹|吵闹|闹钟	清晨闹钟把我叫醒。
锻	锻炼|锻造|锻工	每天锻炼能让身体强壮。
炼	锻炼|炼乳|炼钢	坚持锻炼让我们更有力量。
体	身体|体育|体操	体育课上我们学习跳绳。
之	之前|之后|总之	吃饭之前要先洗手。
初	最初|初次|初一	这是我初次学习游泳。
性	性格|性别|个性	她的性格活泼又开朗。
善	友善|善良|善于	我们要友善地帮助别人。
习	学习|练习|习惯	每天阅读是一个好习惯。
